Question,Answer A,Answer B,Answer C,Answer D,Answer E,Correct,Explaination,Image
The drug of choice for sedation in the setting of acute delirium is ,Haloperidol ,Diazepam ,Diphenhydramine ,Morphine ,Promethazine ,A,"Haloperidol is a potent dopamine antagonist, which does not have anticholinergic or hypotensive effects. Phenothiazines, such as prochlorperazine and chlorpromazine, cause orthostatic hypotension, lower the seizure threshold, and have strong anticholinergic properties that can exacerbate delirium. Diphenhydramine, while sedating, also shares these anticholinergic properties. Opioids may induce dysphoria and can exacerbate brain dysfunction. Diazepam has a long half-life due to its metabolites and may result in hypotension and respiratory depression. Promethazine is primarily an antihistamine that also has strong anticholinergic properties. ",
Which of the following is the most common cause of duodenal perforations? ,Foreign body ,Neoplasia ,Crohn disease ,Tuberculosis ,Peptic ulcer disease ,E,Peptic ulcer disease is the most common cause of both duodenal and gastric perforations. The other answer choices are less common causes. Crohn disease tends to cause distal small bowel perforations more often than duodenal. Diverticulitis and neoplasia are the most common causes of large bowel perforations. ,
A 76-year-old female presents to the ED in the middle of summer complaining of swelling of her ankles and feet. The daily high temperature has exceeded 100°F for the last 10 days. Which of the following is true? ,She should be treated with furosemide. ,Her condition may resolve with acclimation. ,She should be treated with hydrochlorothiazide. ,An echocardiogram should be performed to exclude heat-induced congestive heart failure., Her condition is actually most common in the pediatric population. ,B,"Acclimation or acclimatization is a collection of physiologic changes that occur in response to repeated heat stress. Physiologic changes typically occur over a 7- to 14-day period presuming consistent, daily exposure. Physiologic changes include increased plasma volume, a lower threshold for sweating (earlier onset), increased rate and volume of sweating with decreased electrolyte content of sweat, increased aldosterone secretion, decreased heart rate, and increased capacity for peripheral vasodilation. This patient has heat edema, which is a benign condition most commonly seen in the elderly and in nonacclimatized individuals. It is thought to be due to a combination of orthostatic pressure and vascular leak. Diuretic therapy is not beneficial and may cause dehydration. Although a minimal workup for other common conditions resulting in lower extremity edema may be necessary, an echocardiogram is not required. Generally, heat edema resolves with acclimation or upon return to a patient’s baseline climate and may be treated with simple measures such as leg elevation and support stockings. ",
"A 53-year-old male with a history of alcohol abuse and chronic back pain presents to the emergency department from an alcohol treatment center for evaluation of diaphoresis and vomiting. The patient sought treatment for alcohol use after binge drinking for 2 months. His last drink was about 24 hours prior to your evaluation. While waiting for evaluation at the treatment center, he began to feel sick with multiple episodes of nonbloody emesis and abdominal pain. Staff at the treatment center sent him to the ED for further evaluation. His vitals are: T 99.4°F P 113, RR 18, BP 119/76, SaO2 97% on RA. His abdominal examination was unremarkable despite his complaints of pain. His blood tests and urinalysis are significant for: WBC 14,200 mm3 
Hgb 13.5 g/dL 
Na+, 129 mEq/L 
K+, 3.8 mEq/L 
Cl−, 90 mEq/L 
HCO3−, 13 mEq/L 
BUN, 24 mg/dL 
Cr, 1.3 mg/dL 
Glucose, 86 mg/dL 
Urine ketones 4+  Which of the following is the best next step? ","IV thiamine, bolus infusion of 5% dextrose in normal saline ","IV insulin infusion, IV thiamine, IV infusion of 5% dextrose with 20 mEq of potassium chloride in normal saline over 1 hour ","IV insulin infusion, IV infusion of 5% dextrose with 40 mEq of potassium chloride ",Bolus of normal saline over 1 hour ,All of the above regimens will be equally effective ,A,"This patient is presenting with alcoholic ketoacidosis (AKA). Though patients with diabetic ketoacidosis (DKA) can present with a normal blood glucose level (euglycemic DKA), most patients with DKA present with elevated glucose levels and often have a history of diabetes. Differentiating between the two disorders is usually straightforward but in patients presenting with an elevated glucose level, a hemoglobin A1C may be helpful. Patients with AKA are typically chronically malnourished with a history of chronic alcohol abuse. Thiamine is given before glucose containing fluids since thiamine is a cofactor in glucose metabolism and many patients with AKA are thiamine deficient so glucose administration without thiamine could theoretically precipitate Wernicke–Korsakoff syndrome. ",
"A 27-year-old male being treated for a performance anxiety disorder with propranolol is brought to the ED with profound hypotension. He admits to taking “the entire bottle” of tablets because he has been feeling depressed recently and “couldn’t take it anymore.” He started to regret the decision later, and confided in his girlfriend who called EMS. EMS found the patient somewhat somnolent and complaining of lightheadedness with a BP of 70/47, P 46, RR 18, and SaO2 98% on RA. In the ED, the patient’s BP is 65/43, without any significant change in his other vital signs. Over the next 2 hours, a central venous catheter is placed, and he is given aggressive IV hydration, intravenous atropine, glucagon, calcium, and an epinephrine drip. Despite these therapies, he remains hypotensive. Which of the following is the best next step? ",Intravenous lipid emulsion therapy ,Emergent hemodialysis ,Intravenous milrinone infusion ,High-dose intravenous insulin infusion and intravenous glucose infusion ,Intra-aortic balloon pump and temporary transvenous pacing ,D,"The majority of beta-blocker overdoses are successfully managed with supportive care. The front-line agents for managing the cardiovascular complications evident in this patient include aggressive IV fluids, and atropine, with glucagon and calcium (either chloride or gluconate) used if initial measures are ineffective. Epinephrine is the vasopressor of choice if all these measures fail. In patients refractory to these treatments, high-dose insulin and glucose is the therapy of choice. Insulin circumvents the beta-receptor, inducing increased levels of cyclic AMP production through its own receptor, thus mirroring the effect of the G-protein-coupled beta-receptor. To be effective, insulin must be used at extremely large doses. The commonly used protocol calls for 1 unit per kg of regular insulin as a bolus, followed by a 0.5 unit per kg insulin infusion. Dextrose infusions are required to maintain euglycemia. The effects of this therapy are delayed 30 to 60 minutes after initiation. Lipid emulsion therapy remains experimental, but there are positive case reports of its use in some beta blocker overdoses. Dialysis is not used in beta-blocker overdose, and propranolol is not removed by hemodialysis. Phosphodiesterase inhibitors such as milrinone, intraaortic balloon pumps, and temporary transvenous pacing may be helpful in patients who are refractory to all other therapies. ",
Which of the following characteristics of warfarin is an advantage over the novel oral anticoagulants (inhibitors of Factors IIa and Xa) in the treatment of venous thromboembolism? ,No need for monitoring of drug levels ,Less frequent major bleeding episodes ,Lower myocardial infarction risk ,Reduced early pro-thrombotic effect ,Reduced risk of venous thromboembolism recurrence ,C,"In several meta-analyses, the novel oral anticoagulants (NOACs) have exhibited a higher risk of causing myocardial infarction than warfarin. It is unclear why this occurs (or whether this risk will continue), but it is currently one of the only advantages that warfarin has over the NOACs. Choices A, B, and D actually represent advantages that the NOACs have over warfarin. Venous thromboembolism recurrence rates are about the same with both classes of drugs. (Annals, April 2016.) ",
Which of the following physical examination findings is consistent with a relative left-sided afferent papillary defect when a penlight is swung between the two eyes in a darkened room? ,The left pupil dilates when light is shined into the left eye. ,The left pupil constricts when light is shined into the left eye. ,The left pupil does not respond to light when light is shined into the left eye. ,The left pupil dilates when light is shined into the right eye. ,The left pupil constricts when light is shined into the right ey,A,"The “swinging penlight” test is used to diagnose afferent papillary defects. In the test, a light is swung between the two eyes in a darkened room, spending approximately 1 second per eye to determine pupillary response. An afferent pupillary defect is present when the affected eye appears to dilate in response to light. The presence of an afferent pupillary defect reflects a problem with light perception from the eye. This could reflect a problem anterior to the retina (e.g., blood in the anterior or posterior chamber), within the retina, or in the optic nerve. It most commonly reflects optic nerve lesion on the affected size. Whatever the cause, the pupil of the affected eye will not respond correctly when exposed to light. Since the efferent pathways (from brain to eye) are not affected, light shined into the unaffected, contralateral eye results in a normal, constrictive response. Furthermore, since the efferent pathways are normal, the two pupils are always the same size as each other. However, since the affected eye does not sense as much light as the unaffected eye, exposing the affected eye to light produces a weaker constrictive response than light exposure in the normal eye. When a penlight is swung between the two eyes, this gives the appearance of dilation when the light is swung to the affected eye. ",
Which of the following is true regarding inflammatory bowel disease? ,Toxic megacolon is more common in patients with Crohn disease than ulcerative colitis. ,Perianal complications are most common in patients with Crohn disease. ,Crohn disease always involves the rectum. ,Erythema nodosum is most common in male patients with ulcerative colitis. ,Anal fissures in patients with Crohn disease tend to be located in the posterior midlin,B,"Although rectal involvement is uncommon in patients with Crohn disease and nearly universal in patients with ulcerative colitis, perianal complications are much more common in patients with Crohn disease. The anal canal is the most terminal segment of the large intestine. In approximately 25% of patients with Crohn disease, perianal complications may occur before the onset of overt disease. Toxic megacolon is more common in patients with ulcerative colitis. Erythema nodosum occurs most often in women patients with Crohn disease. Anal fissures associated with Crohn disease are typically eccentrically located. In patients without Crohn disease, more than 90% of fissures are located in the posterior midline. ",
"A 4-week-old infant is brought in by his parents breathing fast and appearing sweaty. His respiratory rate is 54, BP 88/60, P 200. His skin is pink and capillary refill is about 2 seconds. His EKG is shown. Which the following is true (Fig. 5-5)? ",A bag of ice should be held over the infant’s nose and mouth for 30 seconds ,The baby has Wolff Parkinson White (WPW) syndrome ,Adenosine should be avoided ,Electrical cardioversion should be performed immediately ,Verapamil is the intravenous agent of choice ,A,"This patient has supraventricular tachycardia (SVT). Since the diving reflex is very effective in neonates, the first step is to hold a bag of ice or a frozen towel over the patient’s nose and mouth for 30 seconds. If the infant fails to convert, the next step is to use adenosine. Verapamil is avoided in infants because it may cause significant hypotension. Digoxin, on the other hand, may be effective, but has a slow onset. Electrical cardioversion is effective, but is reserved for patients with refractory symptoms or who are in shock. Given that this patient has good perfusion and is maintaining his blood pressure, electrical cardioversion is not needed. Finally, while WPW can lead to SVT, it is not possible to determine if WPW underlies the patient’s SVT until after cardioversion. ",t5-49.png
Which of the following is true about peptic ulcer disease? ,Pain that wakes patients in the middle of night is typical of duodenal ulcers. ,The incidence of bleeding from gastric ulcers is approximately two times that of duodenal ulcers. ,Helicobacter pylori is the major risk factor linked to the development of duodenal ulcers but has almost no role in the development of gastric ulcers. ,Barium contrast is the diagnostic study of choice to diagnose peptic ulcer disease. ,Only 50% of those people infected with H. pylori will develop a peptic ulcer in their lifetim,A,"The pain typically occurs 2 to 3 hours after a meal. Classically, two-third of patients with duodenal ulcers describe pain that wakes them from sleep in the middle of the night, although few patients have pain on waking in the morning. The pain of gastric ulcers tends to occur more quickly after meals and may even be precipitated by food in some patients. Therefore, anorexia and weight loss occur in approximately 50% of patients with gastric ulcers but rarely occur in patients with duodenal ulcers. Duodenal ulcers are twice as likely to be complicated by bleeding as gastric ulcers. H. pylori, although more commonly found in the setting of duodenal ulcers, is the major risk factor for the development of either type of ulcer. Flexible endoscopy is the diagnostic study of choice for peptic ulcer disease. Finally, only 15% to 20% of patients colonized with H. pylori will develop a peptic ulcer in their lifetime. ",
A 4-day-old term neonate with an uncomplicated birth history is brought to the ED by his parents who complain he seems very yellow. He is feeding normally and seems active. Which of the following is true? ,"If indicated, phototherapy is the initial treatment of choice ",Severe hyperbilirubinemia primarily causes cardiac complications ,The patient will probably need an exchange transfusion ,The patient has “bronze baby” syndrome ,The bilirubin level can be roughly determined by physical examination ,A,"However, severe hyperbilirubinemia places infants at risk for irreversible neurologic disease as bilirubin is a neurotoxin. There are several online calculators based on the nomogram developed by Bhutani et al. that can be used to determine whether or not an infant is at risk for developing dangerous levels of bilirubin. Phototherapy is the first-line treatment when treatment is indicated except in the rare cases in which an infant presents with hyperbilirubinemia and clinical evidence of neurologic compromise (e.g., lethargy). In addition,  any infant with a bilirubin level of 25 mg/dL is in danger of developing neurologic injury and should be admitted for emergent treatment. The bronze baby syndrome is an uncommon side effect of phototherapy treatment characterized by a grayish-brown skin color. Bilirubin levels can’t be reliably determined by physical examination and should always be checked with blood testing, when needed. ",
Which of the following is the major pathophysiologic mechanism in gastroesophageal reflux disease (GERD)? ,Increased gastric acid production ,Decreased lower esophageal sphincter tone ,Increased gastric emptying time ,Increased gastric pressure ,Decreased gastric mucosal barrier ,B,"While all mechanisms contribute to GERD, lower esophageal dysfunction is the major one. This underscores the importance of behavioral changes in the management of GERD. While proton pump inhibitors and antihistamines are important to reduce acid production, reduction in smoking, alcohol intake, caffeine use, fatty foods, and large meals, exercise and lying down immediately after eating is also necessary for successful treatment. ",
"A 63-year-old male with a history of nephrolithiasis presents to the ED with acute onset right flank pain. He receives an uncontrasted CT scan which is unrevealing, and he has no hematuria. A repeat study with contrast is performed, a slice of which is shown in Figure 5-The patient feels better and has minimal pain. His vital signs are T 98.4, P 84, RR 16, BP 156/82, SaO2 98% on RA. Which of the following is true (Fig. 5-6)? ",His blood pressure is already at the treatment goal. ,More than 90% patients have a diagnosis of hypertension. ,EKGs are helpful in discriminating this from myocardial infarction. ,Elevated D-dimer levels increase the likelihood of the diagnosis. ,An upper extremity pulse deficit is the most specific physical examination finding. ,E,"Acute aortic dissection is a hypertensive emergency. Initial treatment should focus on reducing the patient’s blood pressure to a systolic blood pressure of 100 to 120 mm Hg using parenteral beta-blockers (labetalol, esmolol, propranolol). Beta-blockers are the preferred agent because they also reduce heart rate and aortic wall stress by reducing the rate of systolic blood pressure rise. While hypertension is the most common risk factor, approximately 25% of patients have no history of hypertension and approximately one-third are normotensive at presentation. EKGs are not usually helpful to differentiate acute aortic dissection from myocardial infarction as most EKGs in patients with either condition are nonspecific. There are ongoing investigations into the use of low D-dimer levels as a means of excluding aortic dissection. However, there are no validated prediction rules to determine the exact pretest probability in patients with suspected aortic dissection, and no outcome studies have demonstrated the safety of using “negative” D-dimer levels as a means to rule out aortic dissection. As with pulmonary embolism, elevated D-dimer levels do not significantly increase the likelihood of acute aortic dissection. An upper extremity blood pressure disparity is a classically described, though somewhat unreliable finding in patients with aortic dissection. A pulse deficit between the upper extremities is the most reliable physical examination finding, and pulses should always be assessed to determine whether there are discrepancies. Unfortunately, the sensitivity of this finding is low, as only 15% of patients in the International Registry of Acute Aortic Dissection (IRAD) study had such a deficit.  ",t5-53.png
A 76-year-old female presents after a fall from standing height onto a countertop. She landed on the right side of her ribcage and complains of pain in that area and difficulty taking a deep breath. Vital signs are normal and physical examination is remarkable only for point tenderness in the right lateral fourth and fifth ribs. A chest x-ray done in the ED is normal. Which of the following is the most appropriate next step in management? ,Admit to the intensive care unit (ICU) ,Discharge home ,Discharge home with pain medication ,Discharge home with pain medication and incentive spirometer ,"Discharge home with pain medication, incentive spirometer, and antibiotics ",D,"Elderly patients with even mild blunt chest trauma are at high risk for pulmonary complications, including atelectasis, delayed contusion, infection, and acute respiratory distress syndrome (ARDS). Aggressive pain management and pulmonary toilet is mandatory for these patients to maintain proper lung expansion in order to prevent the complications mentioned earlier. Most patients are successfully managed on an outpatient basis—admission is indicated if the patient has significant chest wall or pulmonary injury revealed on chest x-ray or chest CT, or has hypoxia, or other severe symptoms. Prophylactic antibiotics are not recommended in the absence of clinical and radiographic findings of infection. ",
Which of the following is true regarding renal injury in trauma? ,"In penetrating trauma, absence of hematuria rules out renal injury. ","In blunt trauma, microscopic hematuria alone is rarely associated with renal injury.", Most renal injuries require operative repair. ,Renal injuries are extremely uncommon in children with blunt trauma. ,Plain radiography is the imaging test of choice for diagnosis. ,B,"Significant renal injury in blunt trauma rarely occurs in the absence of other organ injury. Gross hematuria is the standard indication for further evaluation of the urologic tract, and CT scan with IV contrast is the best imaging tool to evaluate renal injuries. In stable patients with microscopic hematuria due to blunt trauma, significant renal injury is uncommon. Penetrating trauma to the back or abdomen may cause renal injury in the absence of either gross or microscopic hematuria and should be evaluated with CT imaging. The vast majority of renal injuries do not require operative management; exceptions include large renal lacerations and major vascular injuries. The kidneys are among the most commonly injured abdominal organs in blunt abdominal trauma in children. ",
Which of the following is the most common symptom in patients with spinal cord compression? ,Urinary retention ,Saddle anesthesia ,Motor weakness ,Bowel incontinence ,Ascending paresthesias ,C,"Sixty percent to 85% of patients have motor weakness at the time of presentation. The most common pattern of muscle weakness is symmetric lower extremity weakness although any pattern can be seen. Bladder and bowel findings occur late in the course of the disease. Although it also occurs late in the course of compression, any patient with saddle anesthesia should be considered to have cauda equina syndrome until proven otherwise. Back pain is the most common symptom of epidural spinal cord compression, occurring in 83% to 95% of patients, and characteristically precedes neurologic symptoms by approximately 2 months. ",
"A 1-year-old presents with sudden onset of high fever for several days, followed by defervesence and the rash seen on the image. Which of the following is true regarding this condition? ",It is caused by human herpesvirus-6 ,Concomitant lymphadenopathy is rare ,Seizures are seen in most cases ,Management involves intravenous antibiotics ,A “slapped cheek” appearance is the initial manifestation  ,A,"The rash and clinical history describe roseola, caused by human herpesvirus-6 (known as sixth disease, for this reason). It occurs most commonly in the first 2 years of life and supportive care is all that is required for management. Lymphadenopathy is extremely common, seen in almost all cases. Seizures are seen only in a small minority of cases. The “slapped cheek” rash is actually due to erythema infectiosum, caused by parvovirus B-19. (Figure from Kyle T, Susan Carman S, eds. Essentials of Pediatric Nursing. 3rd ed. Philadelphia, PA: Wolters Kluwer, 2016.) ",t5-57.png
Which of the following is true about volvulus? ,Plain films are more often diagnostic in cases of cecal volvulus than sigmoid volvulus., Reduction of cecal volvulus is best achieved endoscopically. ,Cecal volvulus is diagnosed by visualizing a massively dilated cecum in the left upper quadrant on x-ray. ,Cecal volvulus is more common than sigmoid volvulus. ,Cecal volvulus is most common in patients aged 25 to 35 years. ,C,"Sigmoid volvulus accounts for 75% of volvulus cases, whereas cecal volvulus accounts for the remaining 25%. Although patients with cecal volvulus are younger than patients with sigmoid volvulus, they are not young, as affected patients are typically in their late fifties. Plain films are diagnostic in 80% of cases of sigmoid volvulus but <50% of cases of cecal volvulus. The classic findings of cecal volvulus include a massively dilated cecum typically in the left upper quadrant or epigastrium (i.e., not within the right abdomen). Although selected patients with sigmoid volvulus may be candidates for endoscopic reduction, patients with cecal volvulus almost always require surgical repair due to the difficulty of accessing this area endoscopically and the need for cecopexy to prevent recurrence. ",
Which of the following is true regarding heart transplant recipients? ,The resting heart rate is decreased from their pretransplant baseline. ,Tamponade cannot occur in a transplanted heart. ,Acute rejection is usually diagnosed by endomyocardial biopsy. ,There is no increased risk of endocarditis with invasive procedures. ,The heart rate increases only minimally with exercise or stress. ,C,"Due to denervation in the transplanted heart and the consequent lack of vagal tone, the resting heart rate averages between 100 and 110 beats per minute. However, the heart rate can increase up to 70% of the maximum for age due to circulating endogenous catecholamines and upregulation of β-adrenergic receptors. Although rare, tamponade can occur in the transplanted heart because of scar tissue formation and its ability to contain pericardial fluid or blood under pressure. Before the advent of cyclosporine, acute rejection presented as acute-onset CHF or atrial dysrhythmias with a new S3 and diffusely decreased QRS voltage on EKG. These features are now only present in cases of severe failure, and typical acute rejection, which occurs in 75% to 85% of patients, is diagnosed by endomyocardial biopsy. There is an increased risk of endocarditis with invasive procedures, so antibiotic prophylaxis should be used in any procedure expected to produce bacteremia. ",
"A 74-year-old female presents with acute onset of severe, diffuse abdominal pain and nausea. Her vitals are: 100.5, 112, 18, 100/67, 99% on RA. Her heart reveals an irregular rhythm, but her abdominal examination exhibits only mild tenderness. You order comprehensive labs, an upright chest x-ray, and a CT of the abdomen with IV contrast. Which of the following is the next best step in management? ",Broad-spectrum antibiotics ,Tissue plasminogen activator ,Barium enema ,HIDA scan ,Norepinephrine ,A,"Given her age, pain out of proportion to physical examination findings, and presumed atrial fibrillation, the patient likely has acute mesenteric ischemia, which is usually caused by an arterial embolism. Acute mesenteric ischemia carries with it the possibility of infarcted or necrotic bowel, and all patients strongly suspected of this condition should receive early broad-spectrum antibiotics, intravenous hydration, and anticoagulation with heparin. Tissue plasminogen activator is not indicated, as surgery is a very possible treatment strategy. Barium enema is used to diagnose and treat intussusception and would not be appropriate here. HIDA scan is a confirmatory test for biliary pathology when ultrasound is nondiagnostic. Norepinephrine and other vasopressors should not be used in the setting of acute mesenteric ischemia as this may further constrict an already narrowed blood vessel. ",
A 46-year-old female presents with a chief complaint of painless flashes and floaters. She has not noted any trouble reading or other changes to her vision. Which of the following examination findings increases the likelihood of an associated retinal detachment? ,A wavy hyperechoic line anterior to the retina on bedside ultrasound ,Visual field deficit on confrontation testing ,Vitreous hemorrhage on slit-lamp examination ,Decreased visual acuity ,All of the above ,E,"In a meta-analysis of 17 studies, subjective vision reduction (LR+ = 5) was the most important symptom associated with retinal detachment among patients with flashes and floaters. On examination, bedside ultrasound is a simple, useful tool that reveals a thick membrane that appears to have lifted away from the retina as it “floats” in the vitreous anterior to the retina. Vitreous hemorrhage or vitreous pigment (unlikely to be diagnosed by an ED physician) upon slit-lamp examination also greatly increases the likelihood of associated detachment, even if one is not seen. Vitreous pigment is unfortunately named, since its presence reflects retinal pigment within the vitreous (thus, vitreous pigment). A progressive visual field deficit in the setting of flashes and floaters also indicates retinal detachment until proven otherwise. ",
"A 57-year-old male smoker with hypertension, hypercholesterolemia, and peripheral vascular disease presents unable to walk due to pain. He has had progressive worsening of pain in both his legs on walking for several weeks, and the left calf has been extremely painful for 2 days. Vital signs are T 98.2, HR 90 regular, BP 175/90, RR 20, SpO2 98% RA. Examination reveals a regular heart rate, 1+ dorsalis pedis (DP)/posterior tibialis (PT) pulses on the right, absent DP/PT pulses on left, ABI 0.55 on the right and 0.40 on the left, no bruits, and no signs of infection. Which of the following is the most likely pathophysiologic mechanism? ",In situ thrombosis ,Arterial embolism ,Inflammation ,Vasospasm ,Arteriovenous (AV) fistula ,A,"The patient has chronic peripheral vascular disease leading to acute in situ arterial thrombosis in the left leg. Ankle–brachial index (ABI) is >0.9 in patients without peripheral vascular disease, and bilateral reduction in the ABI indicates chronic in situ disease. Arterial embolism is also a very common cause of acute arterial occlusion, but the history of progressively worsening claudication before the acute event is more often seen with in situ thrombosis. Isolated inflammation, vasospasm, and fistulas may also cause arterial occlusion but are far less common than thrombosis and embolism. ",
Which of the following pediatric heart diseases causes cyanosis? ,Mitral stenosis ,Coarctation of the aorta ,Transposition of the great vessels ,Atrial septal defect (ASD) ,Ventricular septal defect (VSD) ,C,"The cyanotic heart diseases in children can be remembered by the fact that each begins with the letter “T”—truncus arteriosus, transposition of the great vessels, tricuspid atresia, tetralogy of Fallot, and total anomalous pulmonary venous return. Another common mnemonic is to think of the five cyanotic heart lesions as easy as 1, 2, 3, 4, 5.  One big trunk: Truncus arteriosus.  Two interchanged vessels: Transposition of the great vessels. Three: TRIscuspid atresia. Four: TETRAlogy of Fallot. Five words: Total anomalous pulmonary venous return. Cyanosis generally indicates the presence of right-to-left shunting, causing bypass of the pulmonary circuit and infusion of deoxygenated blood into the systemic circulation. Cyanosis due to cardiac disease is generally central (truncal and facial), unlike dehydration or hypothermia, which usually causes peripheral cyanosis (in the extremities). ",
"A 23-year-old female presents with shortness of breath. She is 3 days postpartum after a term, normal spontaneous vaginal delivery. She describes bilateral leg swelling, orthopnea, and cough with frothy sputum. She denies chest pain. Physical examination demonstrates presence of S3, bilateral pulmonary crackles, and pitting edema of her lower extremities. Which of the following is true regarding this condition? ",Cardiac catheterization is the next step in management. ,It occurs in approximately 10% of all pregnancies. ,Patients who survive do not develop the condition in subsequent pregnancies. ,Mortality is as high as 30%. ,Aspirin is the mainstay of therapy. ,D,"The patient has peripartum cardiomyopathy, which occurs in approximately 0.03% of all pregnancies and almost one-third of patients die. Risk factors include greater maternal age, multiparity, and twin pregnancies. Clinical characteristics and acute management are the same as that of congestive heart failure due to dilated cardiomyopathy. ECG, not cardiac catheterization, is usually the first step in assessing structural cardiac abnormalities. Patients are at high risk of developing peripartum cardiomyopathy in subsequent pregnancies. Aspirin plays no role in management, although patients may benefit from heparin prophylaxis due to the thromboembolic risk. ",
Which of the following is an expected finding in pregnancy? ,Increased tidal volume ,Decreased RBC mass ,Decreased WBC count ,Increased respiratory rate ,Decreased glomerular filtration rate ,A,"The diaphragm elevates during pregnancy, resulting in decreased total lung capacity and functional residual capacity. However, diaphragmatic excursion actually increases resulting in an increased tidal volume and mild alveolar hyperventilation despite the fact that the respiratory rate remains unchanged. The RBC mass and hemoglobin increase throughout pregnancy. RBC mass rises steadily to term, as it increases 18% without iron supplementation. In contrast, the plasma volume, which also increases during pregnancy, plateaus at 30 to 34 weeks of gestation. The peripheral WBC count steadily rises during pregnancy and may be as high as 20,000 to 30,000 mm3 during labor after which it returns to normal in approximately 1 week. Finally, the glomerular filtration rate increases throughout pregnancy. ",
"A 47-year-old male presents with erythema of his left foot for several days with intermittent chills. Examination reveals a warm, erythematous, and tender dorsal foot consistent with cellulitis. He indicates that he has had methicillin-resistant Staphylococcus aureus skin infection in the past. Which of the following is the best treatment for this patient? ",Doxycycline ,Azithromycin ,Dicloxacillin ,Cephalexin ,No antibiotics—watchful waiting ,A,Methicillin-resistant Staphylococcus aureus (MRSA) is amenable to treatment only with specific antibiotics. Doxycycline usually covers MRSA adequately and is the best choice among the options presented. Azithromycin and cephalexin do not cover MRSA and are responsible for treatment failure. Dicloxacillin is the drug of choice for methicillin-sensitive Staphylococcus aureus but not for MRSA. Avoiding antibiotics is not a proper treatment strategy for a clinically significant cellulitis with early signs of systemic involvement (chills). ,
The pictured deformity in the image occurs in: ,Rheumatoid arthritis ,Osteoarthritis ,Systemic lupus erythematosus ,Reactive arthritis ,Psoriatic arthritis  ,A,"This is the swan neck deformity. It is caused by hyperextension at the proximal interphalangeal (PIP) joint and flexion at the distal interphalangeal (DIP) joint. The DIP joint flexion occurs due to elongation or rupture of the extensor tendon attachment to the distal phalanx (i.e., similar to a mallet injury). Left untreated, PIP hyperextension occurs as a consequence of the distal mallet deformity. However, the deformity can begin in the PIP joint as well due to synovitis of the volar capsule resulting in PIP hyperextension. In the latter case, DIP flexion occurs as a secondary effect. Both the swan neck and boutonniere deformities are common in rheumatoid arthritis. (Figure reprinted with permission from Oatis CA. Kinesiology: The mechanics and Pathomechanics of Human Movement. Philadelphia, PA: Lippincott Williams & Wilkins; 2004.) ",t5-67.png
What is the sensitivity of plain abdominal radiographs for the diagnosis of small bowel obstruction (SBO)? ,10% ,25% ,50% ,75% ,90% ,D,"Abdominal radiography is generally considered the first-line imaging modality to evaluate patients with suspected SBO. The sensitivity of plain radiography is about 75%. If radiographs are normal, but the diagnosis of SBO is still suspected clinically, then CT abdomen/pelvis, with both sensitivity and specificity of over 85%, can be used to confirm the diagnosis. CT also identifies many causes of SBO (such as volvulus or intussusception), other diagnoses in the differential of SBO, and complications such as closed-loop obstruction. To avoid unnecessary ionizing radiation, use of abdominal radiography is most efficient in patients with known prior SBOs who present with typical signs and symptoms without systemic toxicity or severe focal tenderness (which could indicate a closed-loop process). ",
Which of the following is a unique aspect of tarantulas? ,Their abdominal hairs can become embedded in the skin resulting in subsequent allergic reactions. ,"In addition to venom, they serve as a vector for Borrelia spp. and may transmit Lyme disease.", Their venom triggers widespread mast cell degranulation resulting in diffuse flushing and pruritus. ,Tarantula envenomation may result in anaphylaxis and rapid respiratory failure., Envenomation of an extremity can cause transient paralysis distal to the wound. ,A,"Although tarantula bites may inflict a significant amount of pain, there is usually minimal erythema and swelling at the bite site. Severe envenomation is extremely uncommon and fatalities have not been described in the United States. However, tarantulas are covered with “urticating hairs” that it can cast out toward a victim. The hairs become embedded in the skin and may cause an intense inflammatory response, resulting in pruritus and occasionally erythematous papules. After rubbing the area, patients may also unintentionally transfer the hairs to their eyes resulting in a severe keratoconjunctivitis that requires ophthalmologic referral for treatment and hair removal. ",
"A 25-year-old male presents with paralysis of the right side of his face on waking this morning. On examination, you note that the upper half of his face on the right side is functioning normally, but the lower half is completely paralyzed. He does not have a rash and has not traveled recently. Which of the following is the most appropriate next step in management? ",Prednisone PO ,Valacyclovir PO ,Prednisone PO + valacyclovir PO ,Doxycycline PO ,CT brain ,E,"The patient has evidence of an upper motor neuron facial palsy. Sparing of the upper half of the face implies a lesion in the cerebrum or facial nucleus (rather than a facial nerve). Neuroimaging, either with CT or MR, should be pursued in these cases. The other answer choices all assume the diagnosis of a facial nerve (rather than nucleus) lesion. Prednisone plus an antiherpetic agent is the generally accepted treatment for Bell palsy, the most common cause of facial nerve palsy. Doxycycline is used to treat Lyme disease, which is a common cause of facial nerve palsy in endemic areas (Northeast, Mid-Atlantic, Wisconsin, Minnesota). ",
What is the most commonly encountered anorectal problem in infants? ,Anal fissure ,Hemorrhoids ,Fistula ,Ischiorectal abscess ,Pilonidal cyst ,A,"Anal fissures are actually the most commonly encountered anorectal problem in all of pediatrics. However, they are especially common in infants. ",
